,Total On-Peak (kW),Total Off-Peak (kW),DP-CH-1 MAIN,DP-CH-2 MAIN,DP-CH-3 MAIN,DP-CH-4 MAIN,DP-CH-5 MAIN,Total kWh,Type_of_Peak
,,,,,,,,,
1/2/2023 0:00,,98.16,0,90.48,5.06,2.21,0.41,98.16,Off-Peak
1/2/2023 0:15,,97.17,0,90.05,4.61,1.94,0.57,97.17,Off-Peak
1/2/2023 0:30,,95.86,0.37,88.5,5.02,1.88,0.09,95.86,Off-Peak
1/2/2023 0:45,,100.05,2.03,90.12,4.64,2.37,0.89,100.05,Off-Peak
1/2/2023 1:00,,98.95,1.77,90.61,4.96,1.61,0,98.95,Off-Peak
1/2/2023 1:15,,99.39,1.75,89.89,4.71,2.36,0.68,99.39,Off-Peak
1/2/2023 1:30,,98.44,1.76,89.6,4.93,1.87,0.28,98.44,Off-Peak
1/2/2023 1:45,,98.68,1.77,89.82,4.76,1.97,0.36,98.68,Off-Peak
1/2/2023 2:00,,98.62,1.77,88.95,4.88,2.41,0.61,98.62,Off-Peak
1/2/2023 2:15,,97.41,1.77,89.35,4.8,1.43,0.06,97.41,Off-Peak
1/2/2023 2:30,,99.49,1.77,89.61,4.75,2.46,0.9,99.49,Off-Peak
1/2/2023 2:45,,98.01,1.77,89.55,4.85,1.81,0.03,98.01,Off-Peak
1/2/2023 3:00,,98.19,1.75,89.14,4.67,1.98,0.65,98.19,Off-Peak
1/2/2023 3:15,,99.1,1.75,89.6,4.95,2.46,0.34,99.1,Off-Peak
1/2/2023 3:30,,96.89,1.75,88.87,4.62,1.32,0.33,96.89,Off-Peak
1/2/2023 3:45,,99.6,1.76,89.7,5,2.48,0.66,99.6,Off-Peak
1/2/2023 4:00,,98.6,1.76,90.52,4.53,1.79,0,98.6,Off-Peak
1/2/2023 4:15,,99.94,1.76,90.21,5.1,1.98,0.89,99.94,Off-Peak
1/2/2023 4:30,,98.32,1.75,89.65,4.47,2.36,0.09,98.32,Off-Peak
1/2/2023 4:45,,99.1,1.76,90.21,5.14,1.43,0.56,99.1,Off-Peak
1/2/2023 5:00,,98.72,1.75,89.63,4.5,2.44,0.4,98.72,Off-Peak
1/2/2023 5:15,,100.66,1.73,91.78,5.06,1.83,0.26,100.66,Off-Peak
1/2/2023 5:30,,134.65,14.97,94.1,9.38,11.95,4.25,134.65,Off-Peak
1/2/2023 5:45,,623.35,78.21,101.09,192.37,229.7,21.98,623.35,Off-Peak
1/2/2023 6:00,,1167.85,85.13,160.92,382.39,516.79,22.62,1167.85,Off-Peak
1/2/2023 6:15,,1077.28,85.06,142.8,371.77,455.54,22.11,1077.28,Off-Peak
1/2/2023 6:30,,1013.17,84.97,120.44,363.04,422.36,22.36,1013.17,Off-Peak
1/2/2023 6:45,,1025.26,85.01,120.14,366.61,431.2,22.3,1025.26,Off-Peak
1/2/2023 7:00,,1038.55,85.06,121.38,371.43,438.59,22.09,1038.55,Off-Peak
1/2/2023 7:15,,1113.22,85.17,142.49,388.16,474.72,22.68,1113.22,Off-Peak
1/2/2023 7:30,,1126.27,85.17,147.18,390.49,481.43,22,1126.27,Off-Peak
1/2/2023 7:45,,1186.97,85.19,163.64,403.94,511.69,22.51,1186.97,Off-Peak
1/2/2023 8:00,,1182.16,88.6,164.9,405.17,501.19,22.3,1182.16,Off-Peak
1/2/2023 8:15,,1150.9,91.14,157.27,391.58,488.65,22.26,1150.9,Off-Peak
1/2/2023 8:30,,1175.73,91.36,164.47,390.58,506.73,22.59,1175.73,Off-Peak
1/2/2023 8:45,,1187.91,91.37,169.48,390.67,514.36,22.03,1187.91,Off-Peak
1/2/2023 9:00,1173.93,,91.5,166.6,387.88,505.25,22.7,1173.93,On-Peak
1/2/2023 9:15,1227.27,,91.52,179.41,398.64,535.54,22.16,1227.27,On-Peak
1/2/2023 9:30,1304.14,,91.98,203.1,415.21,571.44,22.41,1304.14,On-Peak
1/2/2023 9:45,1327.25,,92.08,212.35,418.92,581.44,22.46,1327.25,On-Peak
1/2/2023 10:00,1317.73,,92.26,203.55,419.55,580.25,22.12,1317.73,On-Peak
1/2/2023 10:15,1351.04,,92.26,202.5,428.21,605.37,22.7,1351.04,On-Peak
1/2/2023 10:30,1390.08,,91.45,205.68,436.66,634.29,22,1390.08,On-Peak
1/2/2023 10:45,1343.11,,91.73,158.15,424.57,568.99,99.67,1343.11,On-Peak
1/2/2023 11:00,1401.06,,95.47,53.22,445.42,593.44,213.51,1401.06,On-Peak
1/2/2023 11:15,1404.74,,94.53,53.54,443.94,595.9,216.83,1404.74,On-Peak
1/2/2023 11:30,1390.96,,95,81.93,434.79,567.55,211.69,1390.96,On-Peak
1/2/2023 11:45,1396.92,,92.36,81.99,436.34,574.74,211.49,1396.92,On-Peak
1/2/2023 12:00,1399.03,,90.71,81.95,436.41,577.8,212.16,1399.03,On-Peak
1/2/2023 12:15,1387.4,,90.63,82.43,434.3,569.24,210.8,1387.4,On-Peak
1/2/2023 12:30,1376.61,,90.68,82.05,431.17,564.15,208.56,1376.61,On-Peak
1/2/2023 12:45,1367.08,,90.81,81.57,428.01,559.69,207,1367.08,On-Peak
1/2/2023 13:00,1405.42,,92.23,82.23,437.59,580.53,212.84,1405.42,On-Peak
1/2/2023 13:15,1438.72,,94.26,82.66,445.79,597.88,218.13,1438.72,On-Peak
1/2/2023 13:30,1431.15,,95.22,82.01,444.11,591.86,217.95,1431.15,On-Peak
1/2/2023 13:45,1431.42,,95.72,82.2,442.28,593.59,217.63,1431.42,On-Peak
1/2/2023 14:00,1450.7,,95.52,82.72,446.46,605.78,220.22,1450.7,On-Peak
1/2/2023 14:15,1466.28,,95.84,82.44,450.76,614.66,222.58,1466.28,On-Peak
1/2/2023 14:30,1460.63,,96.73,79.16,441.82,618.84,224.08,1460.63,On-Peak
1/2/2023 14:45,1455.61,,93.96,77.51,436.75,621.37,226.02,1455.61,On-Peak
1/2/2023 15:00,1452.73,,92.79,77.56,435.28,621.83,225.27,1452.73,On-Peak
1/2/2023 15:15,1475.67,,92.35,77.02,441.18,636.6,228.52,1475.67,On-Peak
1/2/2023 15:30,1469.59,,92.84,77.3,441.34,629.71,228.4,1469.59,On-Peak
1/2/2023 15:45,1427.01,,92.59,77.54,430.35,604.64,221.89,1427.01,On-Peak
1/2/2023 16:00,1439.42,,92.31,77.07,433.55,613.47,223.02,1439.42,On-Peak
1/2/2023 16:15,1461.37,,92.16,77.1,438.27,627.2,226.64,1461.37,On-Peak
1/2/2023 16:30,1438.58,,92.04,77.6,434.13,611.04,223.77,1438.58,On-Peak
1/2/2023 16:45,1413.45,,90.46,77.29,427.5,598.34,219.86,1413.45,On-Peak
1/2/2023 17:00,1409.58,,89.31,76.87,427.87,595.66,219.87,1409.58,On-Peak
1/2/2023 17:15,1423.02,,89.26,77.39,432.08,602.35,221.94,1423.02,On-Peak
1/2/2023 17:30,1381.18,,89.42,77.34,422.32,576.86,215.24,1381.18,On-Peak
1/2/2023 17:45,935.59,,89.23,69.28,386.73,186.35,204,935.59,On-Peak
1/2/2023 18:00,770.66,,89.26,67.67,393.69,1.95,218.09,770.66,On-Peak
1/2/2023 18:15,659.62,,83.65,67.97,330.58,2.36,175.06,659.62,On-Peak
1/2/2023 18:30,646.55,,83.34,67.58,323.47,2.3,169.86,646.55,On-Peak
1/2/2023 18:45,630.09,,83.4,67.32,313.96,2,163.41,630.09,On-Peak
